"date","series","yield"
2017-07-31,"6-month",1.83
2017-07-31,"1-year",1.681
2017-07-31,"2-year",1.78
2017-07-31,"3-year",1.95
2017-07-31,"5-year",2.2125
2017-07-31,"10-year",2.6425
2017-08-31,"Overnight",1.5
2017-08-31,"1-month",1.6
2017-08-31,"3-month",1.7
2017-08-31,"6-month",1.85
2017-08-31,"1-year",1.8
2017-08-31,"2-year",1.7725
2017-08-31,"3-year",1.9375
2017-08-31,"5-year",2.185
2017-08-31,"10-year",2.5975
2017-09-30,"Overnight",1.5
2017-09-30,"1-month",1.6
2017-09-30,"3-month",1.72
2017-09-30,"6-month",1.91
2017-09-30,"1-year",1.746
2017-09-30,"2-year",1.89
2017-09-30,"3-year",2.06
2017-09-30,"5-year",2.3
2017-09-30,"10-year",2.7
2017-10-31,"Overnight",1.5
2017-10-31,"1-month",1.6
2017-10-31,"3-month",1.7
2017-10-31,"6-month",1.89
2017-10-31,"1-year",1.697
2017-10-31,"2-year",1.91
2017-10-31,"3-year",2.07
2017-10-31,"5-year",2.34
2017-10-31,"10-year",2.78
2017-11-30,"Overnight",1.5
2017-11-30,"1-month",1.63
2017-11-30,"3-month",1.72
2017-11-30,"6-month",1.89
2017-11-30,"1-year",1.817
2017-11-30,"2-year",1.79
2017-11-30,"3-year",1.92
2017-11-30,"5-year",2.16
2017-11-30,"10-year",2.57
2017-12-31,"Overnight",1.5
2017-12-31,"1-month",1.69
2017-12-31,"3-month",1.77
2017-12-31,"6-month",1.95
2017-12-31,"1-year",1.772
2017-12-31,"2-year",1.9
2017-12-31,"3-year",2.03
2017-12-31,"5-year",2.25
2017-12-31,"10-year",2.58
2018-01-31,"Overnight",1.5
2018-01-31,"1-month",1.7
2018-01-31,"3-month",1.79
2018-01-31,"6-month",1.97
2018-01-31,"1-year",1.854
2018-01-31,"2-year",1.98
2018-01-31,"3-year",2.16
2018-01-31,"5-year",2.39
2018-01-31,"10-year",2.75
2018-02-28,"Overnight",1.5
2018-02-28,"1-month",1.68
2018-02-28,"3-month",1.77
2018-02-28,"6-month",1.92
2018-02-28,"1-year",1.916
2018-02-28,"2-year",1.96
2018-02-28,"3-year",2.12
2018-02-28,"5-year",2.4
2018-02-28,"10-year",2.86
2018-03-31,"Overnight",1.5
2018-03-31,"1-month",1.77
2018-03-31,"3-month",1.93
2018-03-31,"6-month",2.06
2018-03-31,"1-year",1.979
2018-03-31,"2-year",1.99
2018-03-31,"3-year",2.1
2018-03-31,"5-year",2.35
2018-03-31,"10-year",2.72
2018-04-30,"Overnight",1.5
2018-04-30,"1-month",1.87
2018-04-30,"3-month",2.06
2018-04-30,"6-month",2.16
2018-04-30,"1-year",1.82
2018-04-30,"2-year",2.07
2018-04-30,"3-year",2.18
2018-04-30,"5-year",2.42
2018-04-30,"10-year",2.74
